#,Date-Time (PST/PDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Host Connected,End of File
44,01/03/2024 15:44:53,26.28,53.833,16.20,,
45,01/03/2024 15:54:53,26.40,53.589,16.24,,
46,01/03/2024 16:04:53,26.55,53.296,16.30,,
47,01/03/2024 16:14:53,26.70,52.930,16.33,,
48,01/03/2024 16:24:53,26.84,52.612,16.36,,
49,01/03/2024 16:34:53,26.96,52.344,16.39,,
50,01/03/2024 16:44:53,27.09,52.100,16.44,,
51,01/03/2024 16:54:53,27.21,51.904,16.49,,
52,01/03/2024 17:04:53,27.31,51.685,16.52,,
53,01/03/2024 17:14:53,27.41,51.514,16.56,,
54,01/03/2024 17:24:53,27.51,51.367,16.60,,
55,01/03/2024 17:34:53,26.35,50.000,15.11,,
56,01/03/2024 17:44:53,26.23,54.199,16.26,,
57,01/03/2024 17:54:53,26.33,54.102,16.33,,
58,01/03/2024 18:04:53,26.45,53.760,16.34,,
59,01/03/2024 18:14:53,26.62,53.418,16.40,,
60,01/03/2024 18:24:53,26.77,53.052,16.43,,
61,01/03/2024 18:34:53,26.89,52.783,16.46,,
62,01/03/2024 18:44:53,27.01,52.490,16.48,,
63,01/03/2024 18:54:53,27.14,52.246,16.53,,
64,01/03/2024 19:04:53,27.21,52.100,16.55,,
65,01/03/2024 19:14:53,27.19,52.173,16.55,,
66,01/03/2024 19:24:53,27.14,52.295,16.54,,
67,01/03/2024 19:34:53,27.11,52.417,16.55,,
68,01/03/2024 19:44:53,27.09,52.466,16.55,,
69,01/03/2024 19:54:53,27.06,52.563,16.55,,
70,01/03/2024 20:04:53,27.06,52.637,16.57,,
71,01/03/2024 20:14:53,27.04,52.661,16.56,,
72,01/03/2024 20:24:53,27.04,52.710,16.58,,
73,01/03/2024 20:34:53,27.04,52.710,16.58,,
74,01/03/2024 20:44:53,27.04,52.710,16.58,,
75,01/03/2024 20:54:53,27.01,52.734,16.56,,
76,01/03/2024 21:04:53,27.01,52.759,16.56,,
77,01/03/2024 21:14:53,27.01,52.759,16.56,,
78,01/03/2024 21:24:53,27.01,52.759,16.56,,
79,01/03/2024 21:34:53,27.01,52.783,16.57,,
80,01/03/2024 21:44:53,27.01,52.759,16.56,,
81,01/03/2024 21:54:53,27.01,52.759,16.56,,
82,01/03/2024 22:04:53,27.01,52.783,16.57,,
83,01/03/2024 22:14:53,27.01,52.783,16.57,,
84,01/03/2024 22:24:53,27.01,52.759,16.56,,
85,01/03/2024 22:34:53,26.99,52.759,16.54,,
86,01/03/2024 22:44:53,26.99,52.759,16.54,,
87,01/03/2024 22:54:53,26.99,52.783,16.55,,
88,01/03/2024 23:04:53,26.99,52.783,16.55,,
89,01/03/2024 23:14:53,26.99,52.783,16.55,,
90,01/03/2024 23:24:53,26.99,52.783,16.55,,
91,01/03/2024 23:34:53,26.99,52.783,16.55,,
92,01/03/2024 23:44:53,26.99,52.783,16.55,,
93,01/03/2024 23:54:53,26.99,52.783,16.55,,
94,01/04/2024 00:04:53,26.99,52.832,16.57,,
95,01/04/2024 00:14:53,26.99,52.783,16.55,,
96,01/04/2024 00:24:53,26.99,52.783,16.55,,
97,01/04/2024 00:34:53,26.96,52.783,16.52,,
98,01/04/2024 00:44:53,26.96,52.783,16.52,,
99,01/04/2024 00:54:53,26.96,52.783,16.52,,
100,01/04/2024 01:04:53,26.96,52.783,16.52,,
101,01/04/2024 01:14:53,26.96,52.783,16.52,,
102,01/04/2024 01:24:53,26.96,52.734,16.51,,
103,01/04/2024 01:34:53,26.96,52.783,16.52,,
104,01/04/2024 01:44:53,26.96,52.783,16.52,,
105,01/04/2024 01:54:53,26.96,52.783,16.52,,
106,01/04/2024 02:04:53,26.96,52.783,16.52,,
107,01/04/2024 02:14:53,26.96,52.783,16.52,,
108,01/04/2024 02:24:53,26.96,52.808,16.53,,
109,01/04/2024 02:34:53,26.96,52.832,16.54,,
110,01/04/2024 02:44:53,26.96,52.808,16.53,,
111,01/04/2024 02:54:53,26.94,52.808,16.51,,
112,01/04/2024 03:04:53,26.94,52.832,16.52,,
113,01/04/2024 03:14:53,26.94,52.832,16.52,,
114,01/04/2024 03:24:53,26.94,52.832,16.52,,
115,01/04/2024 03:34:53,26.94,52.832,16.52,,
116,01/04/2024 03:44:53,26.94,52.881,16.53,,
117,01/04/2024 03:54:53,26.94,52.881,16.53,,
118,01/04/2024 04:04:53,26.94,52.881,16.53,,
119,01/04/2024 04:14:53,26.94,52.905,16.54,,
120,01/04/2024 04:24:53,26.94,52.905,16.54,,
121,01/04/2024 04:34:53,26.94,52.905,16.54,,
122,01/04/2024 04:44:53,26.94,52.905,16.54,,
123,01/04/2024 04:54:53,26.94,52.905,16.54,,
124,01/04/2024 05:04:53,26.99,52.881,16.58,,
125,01/04/2024 05:14:53,27.11,52.661,16.63,,
126,01/04/2024 05:24:53,27.23,52.393,16.66,,
127,01/04/2024 05:34:53,27.38,52.100,16.71,,
128,01/04/2024 05:44:53,27.51,51.855,16.75,,
129,01/04/2024 05:54:53,26.79,52.856,16.39,,
130,01/04/2024 06:04:53,26.77,53.345,16.51,,
131,01/04/2024 06:14:53,26.84,53.271,16.56,,
132,01/04/2024 06:24:53,26.94,52.979,16.56,,
133,01/04/2024 06:34:53,27.09,52.710,16.62,,
134,01/04/2024 06:44:53,27.19,52.393,16.62,,
135,01/04/2024 06:54:53,27.31,52.197,16.67,,
136,01/04/2024 07:04:53,27.43,51.904,16.69,,
137,01/04/2024 07:14:53,27.51,50.879,16.45,,
138,01/04/2024 07:24:53,26.79,53.003,16.43,,
139,01/04/2024 07:34:53,26.79,53.174,16.48,,
140,01/04/2024 07:44:53,26.89,53.052,16.54,,
141,01/04/2024 07:54:53,27.01,52.759,16.56,,
142,01/04/2024 08:04:53,27.14,52.490,16.60,,
143,01/04/2024 08:14:53,27.26,52.222,16.63,,
144,01/04/2024 08:24:53,27.36,50.146,16.09,,
145,01/04/2024 08:34:53,27.43,48.145,15.51,,
146,01/04/2024 08:44:53,27.53,48.267,15.64,,
147,01/04/2024 08:54:53,26.79,47.681,14.78,,
148,01/04/2024 09:04:53,26.74,48.413,14.97,,
149,01/04/2024 09:14:53,26.82,48.584,15.10,,
150,01/04/2024 09:24:53,26.94,48.535,15.19,,
151,01/04/2024 09:34:53,27.09,48.486,15.31,,
152,01/04/2024 09:44:53,27.21,48.364,15.38,,
153,01/04/2024 09:54:53,27.33,48.315,15.48,,
154,01/04/2024 10:04:53,27.46,48.218,15.56,,
155,01/04/2024 10:14:53,27.53,47.412,15.36,,
156,01/04/2024 10:24:53,26.77,49.585,15.37,,
157,01/04/2024 10:34:53,26.79,49.829,15.46,,
158,01/04/2024 10:44:53,26.89,49.805,15.55,,
159,01/04/2024 10:54:53,27.01,49.585,15.59,,
160,01/04/2024 11:04:53,27.16,49.414,15.67,,
161,01/04/2024 11:14:53,27.28,49.243,15.73,,
162,01/04/2024 11:24:53,27.41,49.072,15.79,,
163,01/04/2024 11:34:53,27.53,48.975,15.87,,
164,01/04/2024 11:44:53,26.28,50.171,15.10,,
165,01/04/2024 11:54:53,26.28,51.636,15.55,,
166,01/04/2024 12:04:53,26.40,51.465,15.61,,
167,01/04/2024 12:14:53,26.57,51.147,15.67,,
168,01/04/2024 12:24:53,26.72,50.806,15.70,,
169,01/04/2024 12:34:53,26.89,50.513,15.77,,
170,01/04/2024 12:44:53,27.01,50.220,15.79,,
171,01/04/2024 12:54:53,27.16,50.000,15.86,,
172,01/04/2024 13:04:53,27.28,49.854,15.92,,
173,01/04/2024 13:14:53,27.41,49.683,15.99,,
174,01/04/2024 13:24:53,27.51,49.512,16.02,,
175,01/04/2024 13:34:53,26.38,47.070,14.20,,
176,01/04/2024 13:44:53,26.23,52.295,15.70,,
177,01/04/2024 13:54:53,26.35,52.124,15.76,,
178,01/04/2024 14:04:53,26.50,51.782,15.80,,
179,01/04/2024 14:14:53,26.67,51.416,15.84,,
180,01/04/2024 14:24:53,26.82,51.147,15.90,,
181,01/04/2024 14:34:53,26.99,50.830,15.96,,
182,01/04/2024 14:44:53,27.11,50.562,15.99,,
183,01/04/2024 14:54:53,27.23,50.366,16.04,,
184,01/04/2024 15:04:53,27.36,50.171,16.09,,
185,01/04/2024 15:14:53,27.48,50.000,16.15,,
186,01/04/2024 15:24:53,26.99,42.480,13.18,,
187,01/04/2024 15:34:53,26.23,52.734,15.83,,
188,01/04/2024 15:44:53,26.70,51.953,16.03,,
189,01/04/2024 15:54:53,26.92,51.465,16.09,,
190,01/04/2024 16:04:53,27.06,51.050,16.09,,
191,01/04/2024 16:14:53,27.21,50.757,16.14,,
192,01/04/2024 16:24:53,27.33,50.513,16.17,,
193,01/04/2024 16:34:53,27.46,50.293,16.22,,
194,01/04/2024 16:44:53,27.23,44.580,14.14,,
195,01/04/2024 16:54:53,26.16,52.954,15.84,,
196,01/04/2024 17:04:53,26.30,52.881,15.94,,
197,01/04/2024 17:14:53,26.45,52.588,15.99,,
198,01/04/2024 17:24:53,26.62,52.173,16.03,,
199,01/04/2024 17:34:53,26.77,51.855,16.07,,
200,01/04/2024 17:44:53,26.94,51.489,16.12,,
201,01/04/2024 17:54:53,27.06,51.196,16.14,,
202,01/04/2024 18:04:53,27.19,50.952,16.18,,
203,01/04/2024 18:14:53,27.33,50.708,16.23,,
204,01/04/2024 18:24:53,27.43,50.488,16.26,,
205,01/04/2024 18:34:53,27.55,50.317,16.31,,
206,01/04/2024 18:44:53,26.79,51.611,16.01,,
207,01/04/2024 18:54:53,26.79,51.904,16.10,,
208,01/04/2024 19:04:53,26.84,51.782,16.11,,
209,01/04/2024 19:14:53,26.84,51.782,16.11,,
210,01/04/2024 19:24:53,26.84,51.807,16.12,,
211,01/04/2024 19:34:53,26.84,51.807,16.12,,
212,01/04/2024 19:44:53,26.84,51.807,16.12,,
213,01/04/2024 19:54:53,26.84,51.807,16.12,,
214,01/04/2024 20:04:53,26.84,51.782,16.11,,
215,01/04/2024 20:14:53,26.87,51.807,16.15,,
216,01/04/2024 20:24:53,26.87,51.782,16.14,,
217,01/04/2024 20:34:53,26.89,51.782,16.16,,
218,01/04/2024 20:44:53,26.89,51.782,16.16,,
219,01/04/2024 20:54:53,26.89,51.758,16.15,,
220,01/04/2024 21:04:53,26.92,51.758,16.18,,
221,01/04/2024 21:14:53,26.92,51.758,16.18,,
222,01/04/2024 21:24:53,26.92,51.733,16.17,,
223,01/04/2024 21:34:53,26.94,51.733,16.19,,
224,01/04/2024 21:44:53,26.94,51.733,16.19,,
225,01/04/2024 21:54:53,26.94,51.685,16.17,,
226,01/04/2024 22:04:53,26.96,51.709,16.20,,
227,01/04/2024 22:14:53,26.96,51.660,16.19,,
228,01/04/2024 22:24:53,26.96,51.685,16.19,,
229,01/04/2024 22:34:53,26.99,51.685,16.22,,
230,01/04/2024 22:44:53,26.99,51.685,16.22,,
231,01/04/2024 22:54:53,26.99,51.636,16.21,,
232,01/04/2024 23:04:53,26.99,51.636,16.21,,
233,01/04/2024 23:14:53,26.99,51.611,16.20,,
234,01/04/2024 23:24:53,27.01,51.636,16.22,,
235,01/04/2024 23:34:53,27.01,51.611,16.22,,
236,01/04/2024 23:44:53,27.01,51.611,16.22,,
237,01/04/2024 23:54:53,27.01,51.563,16.20,,
238,01/05/2024 00:04:53,27.01,51.611,16.22,,
239,01/05/2024 00:14:53,27.04,51.587,16.24,,
240,01/05/2024 00:24:53,27.04,51.587,16.24,,
241,01/05/2024 00:34:53,27.04,51.563,16.23,,
242,01/05/2024 00:44:53,27.04,51.587,16.24,,
243,01/05/2024 00:54:53,27.04,51.563,16.23,,
244,01/05/2024 01:04:53,27.06,51.587,16.26,,
245,01/05/2024 01:14:53,27.06,51.563,16.25,,
246,01/05/2024 01:24:53,27.06,51.563,16.25,,
247,01/05/2024 01:34:53,27.06,51.563,16.25,,
248,01/05/2024 01:44:53,27.06,51.563,16.25,,
249,01/05/2024 01:54:53,27.06,51.563,16.25,,
250,01/05/2024 02:04:53,27.06,51.563,16.25,,
251,01/05/2024 02:14:53,27.09,51.514,16.26,,
252,01/05/2024 02:24:53,27.09,51.563,16.28,,
253,01/05/2024 02:34:53,27.09,51.563,16.28,,
254,01/05/2024 02:44:53,27.09,51.514,16.26,,
255,01/05/2024 02:54:53,27.09,51.538,16.27,,
256,01/05/2024 03:04:53,27.09,51.514,16.26,,
257,01/05/2024 03:14:53,27.09,51.563,16.28,,
258,01/05/2024 03:24:53,27.09,51.514,16.26,,
259,01/05/2024 03:34:53,27.11,51.563,16.29,,
260,01/05/2024 03:44:53,27.11,51.563,16.29,,
261,01/05/2024 03:54:53,27.11,51.563,16.29,,
262,01/05/2024 04:04:53,27.11,51.563,16.29,,
263,01/05/2024 04:14:53,27.11,51.563,16.29,,
264,01/05/2024 04:24:53,27.11,51.563,16.29,,
265,01/05/2024 04:34:53,27.11,51.563,16.29,,
266,01/05/2024 04:44:53,27.11,51.563,16.29,,
267,01/05/2024 04:54:53,27.14,51.563,16.32,,
268,01/05/2024 05:04:53,27.16,51.514,16.33,,
269,01/05/2024 05:14:53,27.31,51.270,16.39,,
270,01/05/2024 05:24:53,27.46,51.001,16.44,,
271,01/05/2024 05:34:53,26.84,51.294,15.96,,
272,01/05/2024 05:44:53,26.74,52.295,16.17,,
273,01/05/2024 05:54:53,26.82,52.222,16.23,,
274,01/05/2024 06:04:53,26.96,51.929,16.27,,
275,01/05/2024 06:14:53,27.09,51.587,16.28,,
276,01/05/2024 06:24:53,27.23,51.318,16.33,,
277,01/05/2024 06:34:53,27.36,51.074,16.37,,
278,01/05/2024 06:44:53,27.48,50.806,16.40,,
279,01/05/2024 06:54:53,26.99,49.316,15.49,,
280,01/05/2024 07:04:53,26.77,52.173,16.17,,
281,01/05/2024 07:14:53,26.74,45.264,13.93,,
282,01/05/2024 07:24:53,26.74,41.479,12.59,,
283,01/05/2024 07:34:53,26.82,39.990,12.10,,
284,01/05/2024 07:44:53,26.87,38.306,11.49,,
285,01/05/2024 07:54:53,26.96,38.135,11.51,,
286,01/05/2024 08:04:53,27.04,37.915,11.49,,
287,01/05/2024 08:14:53,27.14,38.501,11.81,,
288,01/05/2024 08:24:53,27.06,34.521,10.10,,
289,01/05/2024 08:34:53,27.09,35.449,10.52,,
290,01/05/2024 08:44:53,27.19,36.255,10.95,,
291,01/05/2024 08:54:53,27.26,36.914,11.28,,
292,01/05/2024 09:04:53,27.38,37.451,11.61,,
293,01/05/2024 09:14:53,27.48,37.915,11.88,,
294,01/05/2024 09:24:53,27.55,38.306,12.10,,
295,01/05/2024 09:34:53,25.99,40.918,11.71,,
296,01/05/2024 09:44:53,26.45,41.089,12.18,,
297,01/05/2024 09:54:53,26.70,40.967,12.36,,
298,01/05/2024 10:04:53,26.87,40.991,12.52,,
299,01/05/2024 10:14:53,27.01,41.064,12.68,,
300,01/05/2024 10:24:53,27.16,41.138,12.84,,
301,01/05/2024 10:34:53,27.28,41.260,12.99,,
302,01/05/2024 10:44:53,27.41,41.357,13.14,,
303,01/05/2024 10:54:53,27.51,41.455,13.27,,
304,01/05/2024 11:04:53,26.82,37.549,11.15,,
305,01/05/2024 11:14:53,26.11,44.507,13.10,,
306,01/05/2024 11:24:53,26.28,44.385,13.21,,
307,01/05/2024 11:34:53,26.45,44.238,13.31,,
308,01/05/2024 11:44:53,26.65,44.092,13.44,,
309,01/05/2024 11:54:53,26.79,43.945,13.52,,
310,01/05/2024 12:04:53,26.96,43.921,13.66,,
311,01/05/2024 12:14:53,27.09,43.848,13.75,,
312,01/05/2024 12:24:53,27.21,43.848,13.86,,
313,01/05/2024 12:34:53,27.33,43.848,13.97,,
314,01/05/2024 12:44:53,27.46,43.823,14.08,,
315,01/05/2024 12:54:53,27.55,43.872,14.18,,
316,01/05/2024 13:04:53,26.13,45.801,13.56,,
317,01/05/2024 13:14:53,26.28,46.606,13.96,,
318,01/05/2024 13:24:53,26.45,46.460,14.07,,
319,01/05/2024 13:34:53,26.62,46.240,14.15,,
320,01/05/2024 13:44:53,26.79,46.021,14.23,,
321,01/05/2024 13:54:53,26.96,45.850,14.33,,
322,01/05/2024 14:04:53,27.09,45.728,14.40,,
323,01/05/2024 14:14:53,27.23,45.630,14.50,,
324,01/05/2024 14:24:53,27.36,45.581,14.60,,
325,01/05/2024 14:34:53,27.48,45.532,14.69,,
326,01/05/2024 14:44:53,27.58,45.459,14.76,,
327,01/05/2024 14:54:53,26.06,48.145,14.26,,
328,01/05/2024 15:04:53,26.57,47.876,14.64,,
329,01/05/2024 15:14:53,26.79,47.388,14.68,,
330,01/05/2024 15:24:53,26.96,47.095,14.74,,
331,01/05/2024 15:34:53,27.14,46.875,14.83,,
332,01/05/2024 15:44:53,27.28,46.729,14.91,,
333,01/05/2024 15:54:53,27.41,46.606,14.99,,
334,01/05/2024 16:04:53,27.51,46.484,15.04,,
335,01/05/2024 16:14:53,26.45,41.089,12.18,,
336,01/05/2024 16:24:53,26.23,49.365,14.81,,
337,01/05/2024 16:34:53,26.38,49.048,14.84,,
338,01/05/2024 16:44:53,26.57,48.730,14.92,,
339,01/05/2024 16:54:53,26.74,48.438,14.98,,
340,01/05/2024 17:04:53,26.92,48.169,15.06,,
341,01/05/2024 17:14:53,27.06,47.974,15.12,,
342,01/05/2024 17:24:53,27.19,47.778,15.17,,
343,01/05/2024 17:34:53,27.33,47.656,15.26,,
344,01/05/2024 17:44:53,27.43,47.510,15.31,,
345,01/05/2024 17:54:53,27.55,47.412,15.38,,
346,01/05/2024 18:04:53,26.06,49.390,14.66,,
347,01/05/2024 18:14:53,26.21,50.269,15.07,,
348,01/05/2024 18:24:53,26.38,50.000,15.14,,
349,01/05/2024 18:34:53,26.57,49.609,15.19,,
350,01/05/2024 18:44:53,26.74,49.268,15.24,,
351,01/05/2024 18:54:53,26.89,48.975,15.29,,
352,01/05/2024 19:04:53,26.99,48.804,15.32,,
353,01/05/2024 19:14:53,26.99,48.853,15.34,,
354,01/05/2024 19:24:53,26.96,48.975,15.35,,
355,01/05/2024 19:34:53,26.96,49.048,15.37,,
356,01/05/2024 19:44:53,26.94,49.121,15.38,,
357,01/05/2024 19:54:53,26.94,49.194,15.40,,
358,01/05/2024 20:04:53,26.94,49.219,15.41,,
359,01/05/2024 20:14:53,26.94,49.292,15.43,,
360,01/05/2024 20:24:53,26.94,49.316,15.44,,
361,01/05/2024 20:34:53,26.94,49.365,15.46,,
362,01/05/2024 20:44:53,26.96,49.414,15.49,,
363,01/05/2024 20:54:53,26.96,49.438,15.50,,
364,01/05/2024 21:04:53,26.96,49.438,15.50,,
365,01/05/2024 21:14:53,26.96,49.512,15.52,,
366,01/05/2024 21:24:53,26.96,49.512,15.52,,
367,01/05/2024 21:34:53,26.99,49.536,15.56,,
368,01/05/2024 21:44:53,26.99,49.585,15.57,,
369,01/05/2024 21:54:53,26.99,49.585,15.57,,
370,01/05/2024 22:04:53,26.99,49.609,15.58,,
371,01/05/2024 22:14:53,26.99,49.609,15.58,,
372,01/05/2024 22:24:53,26.99,49.634,15.59,,
373,01/05/2024 22:34:53,26.99,49.683,15.60,,
374,01/05/2024 22:44:53,27.01,49.707,15.63,,
375,01/05/2024 22:54:53,27.01,49.683,15.62,,
376,01/05/2024 23:04:53,27.01,49.731,15.64,,
377,01/05/2024 23:14:53,27.01,49.805,15.66,,
378,01/05/2024 23:24:53,27.01,49.805,15.66,,
379,01/05/2024 23:34:53,27.01,49.829,15.67,,
380,01/05/2024 23:44:53,27.01,49.854,15.67,,
381,01/05/2024 23:54:53,27.04,49.854,15.70,,
382,01/06/2024 00:04:53,27.04,49.902,15.72,,
383,01/06/2024 00:14:53,27.01,49.902,15.69,,
384,01/06/2024 00:24:53,27.01,49.951,15.70,,
385,01/06/2024 00:34:53,27.01,49.951,15.70,,
386,01/06/2024 00:44:53,27.04,49.976,15.74,,
387,01/06/2024 00:54:53,27.04,49.976,15.74,,
388,01/06/2024 01:04:53,27.04,50.000,15.75,,
389,01/06/2024 01:14:53,27.04,50.000,15.75,,
390,01/06/2024 01:24:53,27.04,50.000,15.75,,
391,01/06/2024 01:34:53,27.04,50.049,15.76,,
392,01/06/2024 01:44:53,27.04,50.000,15.75,,
393,01/06/2024 01:54:53,27.04,50.049,15.76,,
394,01/06/2024 02:04:53,27.04,50.024,15.75,,
395,01/06/2024 02:14:53,27.04,50.073,15.77,,
396,01/06/2024 02:24:53,27.04,50.073,15.77,,
397,01/06/2024 02:34:53,27.04,50.098,15.78,,
398,01/06/2024 02:44:53,27.04,50.098,15.78,,
399,01/06/2024 02:54:53,27.04,50.098,15.78,,
400,01/06/2024 03:04:53,27.04,50.146,15.79,,
401,01/06/2024 03:14:53,27.04,50.146,15.79,,
402,01/06/2024 03:24:53,27.04,50.122,15.79,,
403,01/06/2024 03:34:53,27.01,50.122,15.76,,
404,01/06/2024 03:44:53,27.04,50.146,15.79,,
405,01/06/2024 03:54:53,27.01,50.146,15.77,,
406,01/06/2024 04:04:53,27.01,50.146,15.77,,
407,01/06/2024 04:14:53,27.01,50.171,15.77,,
408,01/06/2024 04:24:53,27.01,50.146,15.77,,
409,01/06/2024 04:34:53,27.01,50.146,15.77,,
410,01/06/2024 04:44:53,27.01,50.195,15.78,,
411,01/06/2024 04:54:53,27.01,50.195,15.78,,
412,01/06/2024 05:04:53,27.06,50.146,15.81,,
413,01/06/2024 05:14:53,27.21,49.927,15.88,,
414,01/06/2024 05:24:53,27.36,49.634,15.93,,
415,01/06/2024 05:34:53,27.48,49.390,15.96,,
416,01/06/2024 05:44:53,26.92,47.729,14.91,,
417,01/06/2024 05:54:53,26.72,50.781,15.70,,
418,01/06/2024 06:04:53,26.82,50.635,15.74,,
419,01/06/2024 06:14:53,26.94,50.366,15.77,,
420,01/06/2024 06:24:53,27.09,50.073,15.82,,
421,01/06/2024 06:34:53,27.21,49.805,15.84,,
422,01/06/2024 06:44:53,27.33,49.561,15.87,,
423,01/06/2024 06:54:53,27.46,49.292,15.91,,
424,01/06/2024 07:04:53,27.55,49.146,15.94,,
425,01/06/2024 07:14:53,26.74,50.269,15.56,,
426,01/06/2024 07:24:53,26.74,50.586,15.65,,
427,01/06/2024 07:34:53,26.87,50.366,15.71,,
428,01/06/2024 07:44:53,27.01,50.098,15.75,,
429,01/06/2024 07:54:53,27.14,49.805,15.78,,
430,01/06/2024 08:04:53,27.26,49.585,15.82,,
431,01/06/2024 08:14:53,27.38,49.365,15.86,,
432,01/06/2024 08:24:53,27.48,49.146,15.88,,
433,01/06/2024 08:34:53,27.46,45.996,14.83,,
434,01/06/2024 08:44:53,26.70,50.586,15.62,,
435,01/06/2024 08:54:53,26.77,50.586,15.68,,
436,01/06/2024 09:04:53,26.92,50.317,15.74,,
437,01/06/2024 09:14:53,27.04,50.073,15.77,,
438,01/06/2024 09:24:53,27.19,49.829,15.83,,
439,01/06/2024 09:34:53,27.31,49.585,15.86,,
440,01/06/2024 09:44:53,27.43,49.365,15.90,,
441,01/06/2024 09:54:53,27.53,49.243,15.96,,
442,01/06/2024 10:04:53,26.21,47.803,14.29,,
443,01/06/2024 10:14:53,26.18,52.173,15.62,,
444,01/06/2024 10:24:53,26.33,51.831,15.66,,
445,01/06/2024 10:34:53,26.52,51.416,15.71,,
446,01/06/2024 10:44:53,26.70,51.025,15.75,,
447,01/06/2024 10:54:53,26.84,50.708,15.78,,
448,01/06/2024 11:04:53,26.99,50.415,15.83,,
449,01/06/2024 11:14:53,27.11,50.195,15.87,,
450,01/06/2024 11:24:53,27.23,50.000,15.92,,
451,01/06/2024 11:34:53,27.36,49.829,15.99,,
452,01/06/2024 11:44:53,27.46,49.658,16.02,,
453,01/06/2024 11:54:53,27.55,49.512,16.06,,
454,01/06/2024 12:04:53,26.04,52.002,15.44,,
455,01/06/2024 12:14:53,26.23,52.393,15.73,,
456,01/06/2024 12:24:53,26.40,52.026,15.78,,
457,01/06/2024 12:34:53,26.57,51.611,15.81,,
458,01/06/2024 12:44:53,26.74,51.196,15.84,,
459,01/06/2024 12:54:53,26.89,50.879,15.88,,
460,01/06/2024 13:04:53,27.04,50.586,15.93,,
461,01/06/2024 13:14:53,27.16,50.366,15.97,,
462,01/06/2024 13:24:53,27.26,50.195,16.01,,
463,01/06/2024 13:34:53,27.38,50.000,16.06,,
464,01/06/2024 13:44:53,27.48,49.854,16.10,,
465,01/06/2024 13:54:53,27.28,44.873,14.28,,
466,01/06/2024 14:04:53,26.08,52.881,15.74,,
467,01/06/2024 14:14:53,26.28,52.588,15.84,,
468,01/06/2024 14:24:53,26.45,52.173,15.87,,
469,01/06/2024 14:34:53,26.62,51.733,15.89,,
470,01/06/2024 14:44:53,26.79,51.392,15.95,,
471,01/06/2024 14:54:53,26.94,51.074,15.99,,
472,01/06/2024 15:04:53,27.06,50.806,16.02,,
473,01/06/2024 15:14:53,27.19,50.586,16.07,,
474,01/06/2024 15:24:53,27.31,50.366,16.11,,
475,01/06/2024 15:34:53,27.43,50.146,16.15,,
476,01/06/2024 15:44:53,27.53,50.000,16.20,,
477,01/06/2024 15:54:53,26.21,48.315,14.45,,
478,01/06/2024 16:04:53,26.16,53.052,15.86,,
